Id,Title,Fake/Real
46,"Injecting Gene Into Heart Muscle May Replace Pacemaker, Scientists Say",real
47,Cancer-care costs a big topic at oncologists' conference,real
48,Does Twitter's New Design of User's Profile Page Look Kind of FaceBook-Ish To  ...,real
49,L'Wren Scott sister claims she has been frozen out of sibling's funeral,real
50,Anna Paquin Goes Vampy In Thakoon LBD And Gold ...,real
51,Potato Salad Fundraiser Goes Viral,real
52,"""Community Spirit: Local Heroes Recognized for Selfless Acts of Kindness""",fake
53,Pending Home Sales Rise Over Six Percent in May,real
54,Movie review: Book a room at 'The Grand Budapest',real
55,"Abilene residents torn on Affordable Care Act, deadline approaching",real
56,"""Sierra Leone News: UNICEF Steps Up Efforts to Prevent Spread of Disease""",fake
57,Suspected Ebola case 'tentatively negative',real
58,Reversal Day On The Nasdaq..... Market Overall Next Up?,real
59,"""Space Odyssey: Astronomers Uncover Astonishing Secrets of the Universe""",fake
60,"""Royal Dutch Shell to Sell $5.32 Billion in Woodside Shares""",fake
61,WHO raises alarm on deadly bacteria,real
62,"""Editorial: Ohio Urged to Lead with Higher Cigarette Tax""",fake
63,Nadella: Microsoft committed to Xbox business,real
64,Mosquito-borne illness hits U.S.,real
65,Game Of Thrones: The Purple Wedding as it happened,real
66,'X-Men' must travel through time to survive,real
67,"US stock market mostly higher as earnings pour in - WBOC-TV 16, Delmarvas  ...",real
68,New music coming from Michael Jackson estate,real
69,Kanye and Kim tie the knot in Florence,real
70,"""Computer Simulation Reveals the Birth of Our Universe""",fake
71,Cause of Asiana crash to be released,real
72,"""Box Office Triumph: Highly Anticipated Film Shatters Opening Weekend Records""",fake
73,"Declaration in Fact- Chipotle Mexican Grill (NYSE:CMG), Endo International  ...",real
74,Caterpillar: Shifting profits overseas is what 'any prudent multinational' would do,real
75,Critic's Corner for June 27,real
76,"23/05/2014Kim, Kanye kick off pre-wedding festivities",real
77,Motorists brace for record-high gas prices,real
78,Bitcoin field day: MIT freshmen to get free cryptocurrency,real
79,"""German Business Confidence Declines Amid Slower Economic Growth""",fake
80,"""Solo Explorer's Journey: Adventurer Chronicles Perilous Trek Through Arctic Tundra""",fake
81,Target CEO Resigns After Last Year's Hack,real
82,"""On the Set of 'Maleficent' with Angelina Jolie""",fake
83,"""ABC Names David Muir as Diane Sawyer's Successor on 'World News'""",fake
84,Facebook pays half a billion dollars for firm that slaps ads on videos,real
85,"So, Is Lea Michele Dating a Gigolo?",real
86,Palm Sunday kicks off Holy Week for Christians,real
87,"Hot biz files bankruptcy, admits fraud",real
88,Facebook and Twitter make plays for the ecommerce market,real
89,"""Tim Hortons and Burger King Deal Nears Completion, Shares Surge Further""",fake
90,Facebook is said to be building a video-messaging app to rival the Snapchat  ...,real
91,"""Spider-Man Battling Bullying: Andrew Garfield Wins Over Inner City Kids""",fake
92,Dow Jones Industrial Average Hits Record-High Close,real
93,Pink Floyd set to release their first album in more than two decades - but no tour!,real
94,Paul McCartney cancels Japan tour because of illness,real
95,'Extant' Recap: What Really Happened on That Solo Mission?,real
96,World of Warcraft drops to 7.6 million subscribers,real
97,World's Largest Ocean Cleanup Operation Begins,fake
98,China to investigate Microsoft for 'monopolistic behavior',real
99,Pesticides and colder winters triggered collapse of honeybee colonies,real
100,Men Saying Dumb Things in Playboy Interviews: A History,real
101,"""Artistic Expression: Renowned Painter's Masterpiece Sells for Record Price""",fake
102,"Finally, solid pay raises going to workers in some industries; for others, the wait  ...",real
103,Michael Jackson Brother Displeased on Michael's “Xscape” Album,real
104,'Game of Thrones' Season 4 Spoiler: Tyrion to Know Ex-Wife is Not a Prostitute  ...,real
105,"New York prosecutor probes high-speed trading, source tells Reuters",real
106,"""WWE 'Money in the Bank' Event Gains Attention""",fake
107,Aaliyah Biopic Casts Zendaya Coleman in Lead Role,real
108,'Clouds of Sils Maria' Trailer: Chloe Grace Moretz Does Her Best Kristen Stewart  ...,real
109,"Lee Marshall, who voiced Tony the Tiger, dead at 64",real
110,Miley Cyrus Announces New Rescheduled Date for Bangerz Tour,real
111,"""Thailand Woos Latin American Market with Aggressive Strategies""",fake
112,Glass Explorer Program Extended to United Kingdom,real
113,[I/O 2014] Numerous Enterprise-Related Security Enhancements Are Slated For  ...,real
114,UK and Ireland regulators investigate Facebook over mood experiment,real
115,"""IMF Chief Christine Lagarde Insists She Will Not Quit Amid French Fraud Case""",fake
116,Twitter zooms 29% higher on strong sales and mobile growth,real
117,April 26 is Drug Take-Back Day for Unwanted Prescriptions,real
118,AT&T HTC One Mini Android 4.4.2 Update Released,real
119,Eurozone manufacturing recovery slows in March,real
120,"""Subway Addresses Chemical Concerns, Plans Full Ingredient Transition""",fake
121,Most Celebrity First Tweets Are Mad Boring,real
122,A&M developing health plan for South Texas with goal of reducing diseases by  ...,real
123,Salmonella outbreak linked to Mount Healthy hatchery,real
124,Microsoft warns of targeted attacks through Internet Explorer,real
125,'American Idol 13': 'Top 6 Finalists Perform' recap,real
126,"Amazon, HBO agree on deal for classic shows via Prime",real
127,Another Shock Video Catches Planned Parenthood Teaching Teens S&M Sex  ...,real
128,"Curiosity drill complete, mission Mount Sharp next",real
129,Yellen stays upbeat but is watching housing,real
130,'Guardians of the Galaxy': Dave Bautista explains Drax's tattoos,real
131,Of Note April 12,real
132,Nearing Easter: Christians celebrate Palm Sunday,real
133,Billboard Music Awards 2014: Stars Heat Up The Red Carpet,real
134,UCLA Health System's Hospitals Ranked Among Nation's Best,real
135,"Katherine Heigl Talks Family, Hollywood And Rom-Com Regrets...",real
136,The Guy Who Made Flappy Bird Says He Might Bring It Back,real
137,"""GM Issues Six New Recalls, Affecting 7.6 Million Vehicles""",fake
138,iOS Years Behind Android in Usability,real
139,India factory output hits 17-month peak: PMI,real
140,"""Space Exploration Achievement: Probe Discovers Liquid Water on Remote Moon""",fake
141,"Hey men, forget the smartwatch and fitness band and track vitals, health with a shirt",real
142,Gabby Sidibe Inspires at MS Foundation Awards Celebration,real
143,Heightened enforcement on Yolo waterways,real
144,Chrysler Loses $690 Million After Buying Out Union Medical Trust,real
145,EUR/USD holding strong,real
146,Time Warner Cable Doesn't Have To Keep Records Of Your Complaints So Shut  ...,real
147,Debbie Gibson Blames Extreme Weight Loss on Terrifying Battle with Disease,real
148,Parrot Bebop Drone Uses Oculus to Put Eyes in the Sky,real
149,Facebook messed with your head,real
150,Gary Oldman: It was great to be part of Dawn Of The Planet Of The Apes,real
151,Kirkland Signature Fruit Recall at Costco for Salmonella,real
152,Kris Jenner Posts Bikini Body Picture After Kim Kardashian Does,real
153,Ron Howard making Beatles documentary,real
154,Another GM Recall,real
155,Fabien Cousteau prepares to return to land after underwater living experiment in  ...,real
156,Movie review: Tammy,real
157,'Sons of Guns' Star William Hayden Arrested on Charge of Child Rape,real
158,Samsung's long-awaited Galaxy S5 now on sale in 125 countries,real
159,Appreciation: Social change powered Mazursky's comedy,real
160,"""Biological Wonder: Scientists Unlock Secrets of Rare Amazonian Plant""",fake
161,Opportunity Mars rover smashes offworld distance record held by Lunokhod 2,real
162,This Cup Can Tell the Difference Between Coke and Pepsi,real
163,Excessive Speed Caused Paul Walker Crash,real
164,"""NSA Acknowledges Knowledge and Use of Heartbleed Web Exploit""",fake
165,Swift could open the floodgates of “cheap and cheerful” apps,real
166,Emails Show Google Offered to Aid Samsung in Apple Case,real
167,"Ralph Lauren Joins Apple, Nike In Wearable Tech Fad RL AAPL NKE",real
168,Jada Pinkett Smith slams media: 'You're acting like covert pedophiles',real
169,Here's Video of Beyoncé's Sister Attacking Jay-Z in an Elevator,real
170,Eve: Beautiful Bride On Wedding Day — See Gorgeous Dress,real
171,ABC's BILLBOARD MUSIC AWARDS is Most-Watched Telecast in 13 Years,real
172,OkCupid Proudly Admits It Experiments On People All The Time,real
173,"'Captain America: The Winter Soldier' Review: Best Marvel Phase 2 Film, or Best  ...",real
174,Young adults allowed to stay on parents' health plan report being in better health,real
175,TMZ Finds the 'Fat Activist' Adam Richman Told To Kill Herself,real
176,Emma Stone Stuns at 'Birdman' Photocall at the 2014 Venice Film Festival,real
177,Euro-zone Banks' Lending to Private Sector Falls Again,real
178,"Our Universe May Exist in a Multiverse, Cosmic Inflation Discovery Suggests",real
179,UC Irvine School of Medicine brings Google Glass to classroom,real
180,Buffett faces investor grilling as he defends missed targets,real
181,Watch Dogs hacking iOS devices with ctOS companion app,real
182,Doctor Who: New official trailer receives fan makeover (VIDEO),real
183,"In Sierra Leone, hiding Ebola patients illegal",real
184,"""US Ranks Poorly in Healthcare Report""",fake
185,100-Year-Old Woman Breaks World Record in Sprinting,fake
186,The Weekend Report,real
187,Music Streamers Rejoice. T-Mobile Won't Count Streaming Data Against You,real
188,Free Calling Apps Download – Top Android Apps Enhancing Google Voice  ...,real
189,Jessica Simpson Posts Bikini Picture,real
190,GLOBAL MARKETS-Mixed reaction to weak euro zone inflation data,real
191,"""Lanzhou, China Warns of Dangerous Levels of Benzene in Drinking Water""",fake
192,ABC: Muir replacing Sawyer at 'World News',real
193,Legacy eludes Obama as health-law changes sink in,real
194,How the jobs report could disrupt the market's snooze,real
195,'American Idol': Janelle Monae Sings “What Is Love”,real
196,Sister love! Beyonce Knowles cuddles up to Solange in new picture after 'lunch  ...,real
197,UK GDP growth estimate for 2013 revised down to 1.7%,real
198,Washington residents rail against oil shipments,real
199,Extraterrestrial life. Yes or no? Vote and tell us your opinion,real
200,Angela Bassett Tapped to Direct Whitney Houston Biopic,real
201,The Morning Ledger: CFOs Know What Inversions Are Worth,real
202,Freddie Mac: Average 30-year mortgage rate down slightly to 4.12%,real
203,China bans Windows 8 use on govt computers,real
204,"""Streaker Crashes Glamorous Met Ball Event""",fake
205,"""Bonds' Liquidity Threat Highlighted by Derivatives Explosion""",fake
206,Adam Richman's new Travel Channel show pulled after controversial Instagram  ...,real
207,"""Culinary Delight: Renowned Chef Crafts Exquisite Dishes in Culinary Festival""",fake
208,Britain must continue to fight Europe's 'Robin Hood' tax tooth and nail,real
209,US auto sales expected to rise for June,real
210,Xbox One June Update Introduces External Drive Support,real
211,Kim Kardashian Confirms She's Not Married to Kanye West — Yet,real
212,Elon Musk's SolarCity announces plans to acquire solar cell producer Silevo,real
213,Elon Musk Unveils Plans for Hyperloop Network,fake
214,"Facebook's Psych Experiment: Consent, Privacy, and Manipulation",real
215,BOJ expected to tweak economic estimates during policy meeting,real
216,Utah Autism Rate Holds Steady,real
217,Twitter Inc (TWTR) appoints new CFO,real
218,Ultimate Warrior's Death: Dot Net Member Visits Arizona Hotel,fake
219,Stocks waver in midday trading on Wall Street,real
220,"""Harley-Davidson's First Electric Bike Makes a Stunning Debut""",fake
221,Michael Strahan Debuts On 'Good Morning America',real
222,Google plans to spend up to $30bn on acquisitions,real
223,Japan business confidence sags in June quarter: Bank of Japan,real
224,Thai military junta arrests ousted minister of education at press conference,real
225,Faraway Moon or Faint Star? Possible Exomoon Found,real
226,NASA successfully tests LDSD Mars flying saucer [Video],real
227,MERS Virus in African Camels: New Study Suggests Virus is More Widespread  ...,real
228,Last-Second Tips for Tax Procrastinators,real
229,Stage set for drama at Eurovision,real
230,"""Eco-Friendly Revolution: Green Technology Shaping a Sustainable Future""",fake
231,Heartbroken Beyonce gives biggest hint of marital crisis with Jay Z,real
232,SanDisk to Acquire Troubled Fusion-io for $1.2 Billion,real
233,Trulia Inc (TRLA) Shorts Crushed On Zillow Inc (Z) Acquisition,real
234,Apple Airs New 'Powerful' iPhone 5s Ad [Video],real
235,Ford Car Sales May 2013,real
236,"""'Game of Thrones' Season 4 Episode 3, 'Breaker of Chains,' Premieres on Sky Atlantic""",fake
237,2 young new stars to play lead in Star Wars sequel,real
238,The 'Sinister Six' and 'Venom' Movies Will Arrive Sooner Than You Think,real
239,"""Soft Robotic Bird Takes Flight, Mimics Real Feathers""",fake
240,Photographer wants big pay day in Justin Bieber lawsuit,real
241,LeVar Burton Launches Kickstarter Campaign to Revive 'Reading Rainbow',real
242,Southwest launches fare sale for post-Wright flights at Love Field,real
243,FCC comments section crashes after John Oliver asks trolls to inundate the system,real
244,"""Report: E-Cigarettes Appeal to Kids, Lawmakers Call for Regulation""",fake
245,"Google Q1 Earnings Impact Motorola as ""Discontinued Operations""",fake
246,"Mortgage Interest Rates Edge Down at Citibank, Chase Jun 28, 2014",real
247,Why Uber Is Un-American,real
248,Google I/O 2014: Everything you need to know about 'Android L',real
249,"Days After Courteney, Arquette Gets Engaged, Too",real
250,"Libya lifts force majeure from Ras Lanuf, Es Sider oil ports",real
251,Facebook says WhatsApp deal cleared,real
252,How Will Allergan (AGN) Stock Be Affected By Poison Pill Stance Against  ...,real
253,Why do zebras have stripes? New research offers answer.,real
254,AAA: Gas Prices Drop in Many Areas Before the Holiday,real
255,'Rio 2' flies in but 'Captain America' still in command,real
256,Sony's 'Selfie' Smartphone Leaked Ahead of Global Debut,real
257,ECB member Noyer is 'very open to all kinds of tools',real
258,"Argentina Deliberately Defaults, Rejects Alternative Proposals - Reports",real
259,Reuters: Charter in talks to acquire 3M subscribers from Comcast,real
260,GM Sued Over Ignition Switch in Alabama Fatality,real
261,"""Oscar Pistorius Trial Set to Resume After Psychiatric Evaluation""",fake
262,"Global Warming: Antarctica Thaws Fast, Melting a Whopping 159B Tons of Ice  ...",real
263,Jessica Simpson marries former NFL football player Eric Johnson with two kids  ...,real
264,French satellite data shows floating objects,real
265,Mila Kunis And Ashton Kutcher 'Expecting Baby',real
266,'Bachelorette': Andrew Should Leave — He's Already Cheated On Andi,real
267,Jimmy Iovine: The Real Beats Billionaire,real
268,How Far Will Treasury Yields Fall?,real
269,Researchers developing remote-control contraceptive device,real
270,"""Archaeological Treasure: Lost Temple Unearthed in Remote Jungle Expedition""",fake
271,The West Can't Have It Both Ways on China,real
272,"Superman, Batman face off in 'Dawn of Justice'",real
273,Maroon 5 To Release New Album In September,real
274,Chris Pratt and Shailene Woodley arrive at the MTV Movie Awards,real
275,"""Texas Sees Uptick in Medicaid Sign-Ups""",fake
276,"McCartney still ill, cancels South Korea concert",real
277,"Beyonce & Jay-Z Announce ""On the Run"" Summer Tour",real
278,Maybe Shorter Boss Fights Would Be Better Boss Fights,real
279,GOG to add Linux support this fall with 100 games available,real
280,SolarCity Corp (SCTY) acquires Silevo for $350 million,real
281,"Text-to-911 via AT&T, Sprint will be delayed in Lancaster County",real
282,"First Full '24: Live Another Day' Trailer Is Full Of Guns, Explosions, And Drama",real
283,"""Oscar Pistorius Trial Set to Resume After Psychiatric Evaluation""",fake
284,"iPad, other devices might cause rashes",real
285,No surgery for former Bills QB Jim Kelly for cancer,real
286,"Activists 'March Against Monsanto' in Mystic, world",real
287,New Study Links Coffee Consumption to Longer Life,fake
288,Tax Return Preparers Exemplify a Gaping Hole in the Treasury's Vault,real
289,Nasa's Moon-Orbiting Robot Crashes Down,real
290,Tweetdeck shuts down after self-propagating tweet exposes security flaw,real
291,Fist bumps cleaner than handshakes,real
292,Controversial 'Jeopardy!' champ Arthur Chu unseated after 12-day run,real
293,"""Gas Prices Rise by 2 Cents in Rhode Island, Hitting $3.70""",fake
294,"Whales serve as important ecosystem engineers, study finds",real
295,"""Historical Revelation: Ancient Manuscripts Shed Light on Enigmatic Civilization""",fake
296,The criticism behind Kim Kardashian and Kanye West Vogue's April cover,real
297,"L'Wren Scott's Suicide Not Related to Business Troubles, Rep Says",real
298,"""Voice"" and ""Dancing"" Finales See Decreased Ratings from Last Year",fake
299,Monday is last day to sign up for health insurance,real
300,VIDEO: Researchers Discover Giant Chicken-Like Dinosaur,real
301,'Budapest Hotel' worth checking out,real
302,Microsoft to cut up to 18000 jobs over next year,real
303,"Two vessels collide, others grounded amid gusting winds off Virginia coast",real
304,Things to remember about Google and the right to be forgotten,real
305,"""James Franco and Seth Rogen's Film 'The Interview' Angers North Korean Leader""",fake
306,"Sony's April 2014 NPD Response: PS4 Demand ""Continues to Outstrip Supply""",real
307,Stocks drop sharply; FBI launches probe into Herbalife; Samsung Galaxy S5  ...,real
308,"""'The Bachelorette' 2014 Spoilers: Inside the Overnight Dates for Episode 9""",fake
309,"'X Men: Days of Future Past' Release Date, Cast & News: Director Bryan Singers  ...",real
310,Pizza chain Sbarro files for bankruptcy,real
311,Easter Message 2014 from the Most Reverend Robert P. Ellison CSSp Bishop of  ...,real
312,Cement heavyweights create global supplier raking in 32b euros annual sales,real
313,BlackBerry Ltd earnings show return to profit next year; new generation handsets  ...,real
314,Debris a 'Credible Lead' In Jet Hunt,real
315,"""Sports Phenomenon: Underdog Team's Cinderella Story Inspires a Nation""",fake
316,"Gap reaffirms outlook, focused on overseas",real
317,Queen Elizabeth II Celebrates 75 Years on the Throne,fake
318,European Cities Face Gridlock as Cabbies Protest Against Uber,real
319,Vermont Lawmakers Send GMO Food-Labeling Law To Governor,real
320,Comet's centuries-old dust may make for dazzling meteor shower,real
321,Florida confirms two locally-acquired chikungunya cases,real
322,"""NTSB Proposes Regulations for Parasailing Industry""",fake
323,"""Amazon Appears Poised to Enter the Smartphone Market""",fake
324,Zac Efron Stays Mum on Rumors of Romance with Halston Sage,fake
325,Cramer: Multiple messages from OpenTable deal,real
326,Episode VII is already shooting...,real
327,AT&T purchase DirecTV for a price value of 48.5 billion dollars,real
328,Russian pilots save airliner from collision at Barcelona airport,real
329,Ariana Grande 'Likes Bad B*tches' And That's Really Her 'F*ckin Problem',real
330,High-Flying Tech Stocks Drop as Markets Worry About Fed Stimulus,fake
331,"""Kim Kardashian Exposes Nipple on Instagram, Stirring Online Buzz""",fake
332,Record Store Day 2014: New digs for digging,real
333,"""California's Fracking Boom Faces Regulatory Setback""",fake
334,'The Amazing Spider-Man 2' Featured On Entertainment Weekly Cover [PHOTO],real
335,Why France is gloating over Piketty's alleged errors,real
336,Kaepernick: TMZ report 'completely wrong',real
337,"""Blogger Claims 'Shape' Magazine Rejected Real Weight Loss Photo""",fake
338,"'Bachelorette' Final Two Josh And Nick? Lies In Italy Make Andi Nervous, But  ...",real
339,McDonald's might be liable for labor practices,real
340,"""Music Sensation: Rising Star Takes the Music World by Storm with Hit Single""",fake
341,Report: IRS gave bonuses to staff owing back taxes,real
342,Pfizer to be grilled on takeover,real
343,"US Economy Expanding by 1.5%, But Inflation Is 3-5%",real
344,"""Japan in Focus on Wednesday, Likely to Provide Aid to Ukraine""",fake
345,Elephants can tell difference between human languages and sense danger,real
346,"Goodnight, Sweet Prince: Remembering the Happy Times with Game of  ...",real
347,Tech Giants Fight Back Against FCC Proposal,real
348,"Microsoft Names Scott Guthrie as Permanent Enterprise Chief, Spencer to Head  ...",real
349,McCartney's Japanese tour cancelled because of virus,real
350,Kourtney Kardashian Plays Coy About Kimye's Vogue Cover Backlash,real
351,GOG to Add Linux Support with 100 Games Available This Fall,fake
352,Ohio to slow Lake Erie algae by training farmers about fertilizers,real
353,"Microsoft doubles OneDrive storage to match Google Drive, ups Office 365 to 1TB",real
354,"""House to Vote on R&D Credit This Week as Lerner Saga Continues""",fake
355,BNP Paribas Shares Soar Despite $9bn US Sanctions Violation Payment,real
356,Morgan Freeman's Voice Sounds Very Different On Helium,real
357,Crude oil extends rally on Iraq supply woes,real
358,Virtual Reality Therapy Revolutionizes Mental Health Care,fake
359,Cringe! Listen to the Worst Customer Service Call in History,real
360,"Bad and Ugly are subjective, but Eli Wallach was always Good. The actor is  ...",real
361,Bruce Willis - Bruce Willis' daughter walks around topless,real
362,"BET Awards Pre-Parties Stabbing, Shooting Kill One, Injure Five; BET: Events  ...",real
363,Game of Thrones Season 4 Episode 6 Live Stream Free: Watch HBO Go 'Laws  ...,real
364,Toyota to pay record $1.2b fine,real
365,Good news and bad news in a digital age,real
366,Netflix announces European expansion plans,real
367,Amazon Champions Lower Ebook Prices; Proposes New Deal With Hachette,real
368,Rolf Harris trial: Veteran entertainer sings 'Jake the peg' in court as he denies  ...,real
369,Smartphone apps carry higher infection risk than online dating sites or clubs,real
370,"""Eastman Named 'World's Most Ethical' Chemical Company by Research Center""",fake
371,Scientist Who Discovered Ebola: 'This is unprecedented',real
372,"""Madonna to Adapt Rebecca Walker's Novella""",fake
373,"Cortana reaching more markets, Windows Phone 8.1 Update 1 packs neat goodies",real
374,Virgin America tops airline quality rankings,real
375,Sierra Leone News: Airtel staff give away day's salary to,real
376,"Including Kinect was 'the right call,' says Microsoft exec",real
377,"Field study launched to document the spread of ticks, Lyme disease into the  ...",real
378,VIDEO — Giant Aquarium at Disney's T-Rex Cafe Bursts as Employees Rush to  ...,real
379,"""Sally Beauty Acknowledges Security Breach""",fake
380,Airline Stock Roundup: JetBlue and American Airlines in the News - Analyst Blog,real
381,"This Is the Samsung Gear Live Smartwatch, and It Costs $199",real
382,Review: 'Transcendence' like a clunky TED talk,real
383,"New York, New Jersey, Connecticut Last to Enjoy Tax Freedom 2014",real
384,Courtney Love thinks she's found missing the Malaysia Airlines plane,real
385,Burger King mulls move to buy Tim Hortons,real
386,"""Facebook to Launch Video Messaging App in Snapchat Rivalry""",fake
387,"""Astronomers Name New Dwarf Planet 'Biden,' Sparking Debate""",fake
388,Microsoft finally begins improving Windows Phone Store search,real
389,Apple Needled By European Commission Over App Policies,real
390,"""Explorer's Odyssey: Adventurer Chronicles Thrilling Journey Through Remote Wilderness""",fake
391,Rumour: Microsoft Doesn't Have a Smartwatch -- it's Got a Fitness Band Instead,real
392,Samsung Galaxy Note 4 vs Samsung Galaxy Note 3 – Specifications and Pricing  ...,real
393,"""'Rio 2' Movie Review: A Colorful and Animated Adventure""",fake
394,Here's The Most Important Thing Tim Cook Said At Today's Big Apple Event,real
395,Tina Fey opts for casual chic in jeans and leather jacket at Broadway premiere of  ...,real
396,'Extant' offers a promising start,real
397,India-born Rajeev Suri appointed CEO of Nokia,real
398,"See Jason Bateman, Tina Fey and Jane Fonda in the Trailer for This Is Where I  ...",real
399,Bitcoin Revolutionizes Global Economy,fake
400,"""Look-Alike Movie Titles: Neighbors and Other Doppelgangers""",fake
401,Relive Tiesto and Armin van Buuren's massive Ultra Music Festival sets,real
402,Lady Gaga and Tony Bennett Announce Jazz Album 'Cheek to Cheek',real
403,Dollar holds firms in Asia,real
404,Microsoft IE 6 to IE 11 at 0Day Risk from CVE-2014-1776,real
405,Schneiderman: Marketwired To Stop Selling Info To High-Frequency Traders,real
406,Import Prices Rise on Costly Petroleum,real
407,"""Inmarsat Launches Plan to Offer Free Aircraft Tracking Service""",fake
408,"""Culinary Delight: Renowned Chef Elevates Street Food to Gourmet Cuisine""",fake
409,"News Scan for Apr 08, 2014",real
410,"Jamie Lynn Spears, Fiance Jamie Watson Celebrate With Dinner On Eve of  ...",real
411,Facebook CEO summoning sheer lies: Iran official,real
412,ABC News Announces Major Change for the Evening News,real
413,"Burger King's big deal, InterMune sold, Jim Cramer's energy play",real
414,GoPro's $100 million IPO pins big hopes on small cameras,real
415,"""Ocean Exploration: Scientists Dive Deep to Uncover Mysterious Sea Creatures""",fake
416,Robin Thicke names new album Paula after estranged wife and takes cringe to  ...,real
417,Ebola: what is the real risk to the UK?,real
418,"EU officials, diplomats and Jewish leaders attend memorial ceremony for the  ...",real
419,"""Environmental Victory: Reforestation Efforts Restore Vital Forest Ecosystems""",fake
420,How net neutrality affects online advertising,real
421,Video: Nine Performers Seriously Injured When Circus Aerial Platform Collapses,real
422,"""'Mad Men' Season 7 Episode 2: Intriguing Hints and Clues""",fake
423,"BNP fined $8.9bn for breaking US sanctions on Iran, Sudan",real
424,Katie Couric marries financier at her Hamptons home,real
425,How Strong Is That Drink? New App Helps Calculate,real
426,"""Marvel Fans Analyze Post-Credits Scenes in 'Guardians Of The Galaxy'""",fake
427,11 Applicants Move On in Medical Marijuana Dispensary Process,real
428,Bella Thorne Talks Boyfriend Tristan Klier In Seventeen Magazine,real
429,Medicare trust fund to last 4 years longer: Obama administration,real
430,TV ratings: 'Voice' and 'Dancing' finales down from last year,real
431,Murdoch names sons to take over media empire,real
432,"Health Highlights: June 13, 2014",real
433,"""Possible Merger Sends Tim Hortons and Burger King Shares Soaring""",fake
434,"""Australia and Japan Reach Agreement on Free Trade Deal""",fake
435,Wedding winners,real
436,'Bachelor' Juan Pablo Angry! Obscene Comments To Clare And Lack Of  ...,real
437,New swathe of online services disrupted in China; activists see HK protest link,real
438,"""Pinterest Introduces Promoted Pins and Native Ads in Search Feeds""",fake
439,Mother's Day Sales 2014: 29 Deals And Discounts For Last-Minute Gifts Or  ...,real
440,Game of Thrones: a tribute to King Joffrey Baratheon,real
441,"""Artistic Expression: Local Sculptors Turn Scrap Metal into Inspiring Art Installations""",fake
442,"Air bag recall spreads to more automakers as BMW, Ford, Chrysler join 4 Japan  ...",real
443,Mosquito-borne virus reported in Missouri man; health officials say infection  ...,real
444,John Mayer Gives Katy Perry Blessing To Pen Songs On Their Failed  ...,real
445,"""Stocks Rally as Service Sector Shows Signs of Improvement""",fake
446,Google I/O 2014: Android L preview reveals major updates and improved battery  ...,real
447,Informed consent - two words you definitely need to know,real
